date,accident
2014/6/27,139
2014/6/28,123
2014/6/29,109
2014/6/30,140
2014/7/1,111
2014/7/2,144
2014/7/3,131
2014/7/4,65
2014/7/5,78
2014/7/6,79
2014/7/7,117
2014/7/8,129
2014/7/9,106
2014/7/10,122
2014/7/11,123
2014/7/12,96
2014/7/13,99
2014/7/14,117
2014/7/15,126
2014/7/16,119
2014/7/17,150
2014/7/18,132
2014/7/19,102
2014/7/20,67
2014/7/21,110
2014/7/22,120
2014/7/23,125
2014/7/24,122
2014/7/25,127
2014/7/26,101
2014/7/27,90
2014/7/28,116
2014/7/29,102
2014/7/30,130
2014/7/31,146
2014/8/1,162
2014/8/2,106
2014/8/3,95
2014/8/4,99
2014/8/5,126
2014/8/6,116
2014/8/7,133
2014/8/8,124
2014/8/9,106
2014/8/10,99
2014/8/11,118
2014/8/12,101
2014/8/13,119
2014/8/14,144
2014/8/15,100
2014/8/16,106
2014/8/17,90
2014/8/18,118
2014/8/19,109
2014/8/20,111
2014/8/21,125
2014/8/22,142
2014/8/23,109
2014/8/24,76
2014/8/25,102
2014/8/26,126
2014/8/27,103
2014/8/28,145
2014/8/29,103
2014/8/30,88
2014/8/31,83
2014/9/1,59
2014/9/2,122
2014/9/3,117
2014/9/4,130
2014/9/5,133
2014/9/6,114
2014/9/7,91
2014/9/8,105
2014/9/9,125
2014/9/10,119
2014/9/11,124
2014/9/12,133
2014/9/13,109
2014/9/14,99
2014/9/15,108
2014/9/16,127
2014/9/17,126
2014/9/18,149
2014/9/19,129
2014/9/20,121
2014/9/21,127
2014/9/22,104
2014/9/23,137
2014/9/24,140
2014/9/25,108
2014/9/26,135
2014/9/27,132
2014/9/28,96
2014/9/29,113
2014/9/30,124
2014/10/1,103
2014/10/2,116
2014/10/3,131
2014/10/4,100
2014/10/5,107
2014/10/6,114
2014/10/7,118
2014/10/8,133
2014/10/9,123
2014/10/10,117
2014/10/11,116
2014/10/12,101
2014/10/13,88
2014/10/14,134
2014/10/15,111
2014/10/16,106
